Loadsheet_Number,Total_Pax,Y_Pax,Jump_Pax,Standby_Pax,Male_Pax,Female_Pax,Child_Pax,Infant_Pax,Total_Bags,Total_Bag_Weight_KG,Baggage_Weight_Type,Distribution_Type,Section,Capacity,Distribution
,188,188,0,NULL,119,62,7,0,130,1470.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y30
,188,188,0,NULL,119,62,7,0,130,1470.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y29
,188,188,0,NULL,119,62,7,0,130,1470.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y36
,181,181,0,NULL,125,48,8,7,130,1456.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y33
,181,181,0,NULL,125,48,8,7,130,1456.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y30
,181,181,0,NULL,125,48,8,7,130,1456.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y27
,181,181,0,NULL,125,48,8,7,130,1456.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y29
,181,181,0,NULL,125,48,8,7,130,1456.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y26
,181,181,0,NULL,125,48,8,7,130,1456.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y36
,181,181,0,NULL,125,48,8,7,180,2016.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y33
,181,181,0,NULL,125,48,8,7,180,2016.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y30
,181,181,0,NULL,125,48,8,7,180,2016.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y27
,181,181,0,NULL,125,48,8,7,180,2016.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y29
,181,181,0,NULL,125,48,8,7,180,2016.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y26
,181,181,0,NULL,125,48,8,7,180,2016.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y36
,122,122,0,NULL,71,48,3,0,82,904.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y32
,122,122,0,NULL,71,48,3,0,82,904.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y23
,122,122,0,NULL,71,48,3,0,82,904.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y19
,122,122,0,NULL,71,48,3,0,82,904.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y16
,122,122,0,NULL,71,48,3,0,82,904.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y15
,122,122,0,NULL,71,48,3,0,82,904.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y17
,122,122,0,NULL,71,48,3,0,83,915.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y32
,122,122,0,NULL,71,48,3,0,83,915.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y23
